,nomic-ai__nomic-embed-text-v1
ClimateFEVERHardNegatives,0.30649
STS14,0.816434
STS17,0.87667
CQADupstackUnixRetrieval,0.36391
ImdbClassification,0.84174
STS22.v2,0.632916
STS12,0.779762
FEVERHardNegatives,0.85515
STSBenchmark,0.85676
HotpotQAHardNegatives,0.74322
TwentyNewsgroupsClustering.v2,0.491003
ToxicConversationsClassification,0.676758
MassiveScenarioClassification,0.745696
MassiveIntentClassification,0.696469
MedrxivClusteringS2S.v2,0.343865
AskUbuntuDupQuestions,0.612179
BiorxivClusteringP2P.v2,0.414831
Touche2020Retrieval.v3,0.57412
TRECCOVID,0.75491
SummEvalSummarization.v2,0.328241
StackExchangeClustering.v2,0.582629
TwitterSemEval2015,0.751141
STS13,0.854594
Banking77Classification,0.794675
STS15,0.876099
StackExchangeClusteringP2P.v2,0.386668
ArguAna,0.49038
TweetSentimentExtractionClassification,0.641709
AmazonCounterfactualClassification,0.752836
ArXivHierarchicalClusteringS2S,0.550392
ArXivHierarchicalClusteringP2P,0.589489
MTOPDomainClassification,0.927063
FiQA2018,0.36231
SprintDuplicateQuestions,0.949353
MedrxivClusteringP2P.v2,0.361097
MindSmallReranking,0.304937
SICK-R,0.786047
BIOSSES,0.864941
SCIDOCS,0.17905
TwitterURLCorpus,0.865908
CQADupstackGamingRetrieval,0.55488
