,nomic-ai__nomic-embed-text-v1-unsupervised
ClimateFEVERHardNegatives,0.24383
STS14,0.799808
STS17,0.895513
CQADupstackUnixRetrieval,0.39235
ImdbClassification,0.8582
STS22.v2,0.666636
STS12,0.732069
FEVERHardNegatives,0.74151
STSBenchmark,0.839996
HotpotQAHardNegatives,0.64223
TwentyNewsgroupsClustering.v2,0.461084
ToxicConversationsClassification,0.667773
MassiveScenarioClassification,0.751782
MassiveIntentClassification,0.696032
MedrxivClusteringS2S.v2,0.329115
AskUbuntuDupQuestions,0.591405
BiorxivClusteringP2P.v2,0.382576
Touche2020Retrieval.v3,0.56074
TRECCOVID,0.61678
SummEvalSummarization.v2,0.30514
StackExchangeClustering.v2,0.52112
TwitterSemEval2015,0.692717
STS13,0.847846
Banking77Classification,0.844903
STS15,0.872735
StackExchangeClusteringP2P.v2,0.398552
ArguAna,0.5493
TweetSentimentExtractionClassification,0.536418
AmazonCounterfactualClassification,0.757164
ArXivHierarchicalClusteringS2S,0.53662
ArXivHierarchicalClusteringP2P,0.575388
MTOPDomainClassification,0.92264
FiQA2018,0.39838
SprintDuplicateQuestions,0.957914
MedrxivClusteringP2P.v2,0.346257
MindSmallReranking,0.302993
SICK-R,0.74191
BIOSSES,0.871086
SCIDOCS,0.20168
TwitterURLCorpus,0.858783
CQADupstackGamingRetrieval,0.61733
