,nomic-ai__nomic-embed-text-v1
ClimateFEVERHardNegatives,0.40696
STS14,0.816438
STS17,0.872035
CQADupstackUnixRetrieval,0.35849
ImdbClassification,0.856696
STS22.v2,0.644591
STS12,0.789297
FEVERHardNegatives,0.86155
STSBenchmark,0.855366
HotpotQAHardNegatives,0.74928
TwentyNewsgroupsClustering.v2,0.480272
ToxicConversationsClassification,0.665039
MassiveScenarioClassification,0.776362
MassiveIntentClassification,0.735205
MedrxivClusteringS2S.v2,0.344838
AskUbuntuDupQuestions,0.61213
BiorxivClusteringP2P.v2,0.413846
Touche2020Retrieval.v3,0.63602
TRECCOVID,0.79859
SummEvalSummarization.v2,0.324211
StackExchangeClustering.v2,0.58578
TwitterSemEval2015,0.757789
STS13,0.854151
Banking77Classification,0.845422
STS15,0.872005
StackExchangeClusteringP2P.v2,0.393886
ArguAna,0.49047
TweetSentimentExtractionClassification,0.614714
AmazonCounterfactualClassification,0.767313
ArXivHierarchicalClusteringS2S,0.551229
ArXivHierarchicalClusteringP2P,0.583353
MTOPDomainClassification,0.93404
FiQA2018,0.38772
SprintDuplicateQuestions,0.935219
MedrxivClusteringP2P.v2,0.37338
MindSmallReranking,0.304755
SICK-R,0.785781
BIOSSES,0.86449
SCIDOCS,0.18385
TwitterURLCorpus,0.86715
CQADupstackGamingRetrieval,0.56936
